Easting,Northing,Elevation,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
651015.44,4766186.94,-254.96,5,0.45,0.1,292,6.2,0,6000,0,0,0,21000,0,3000,0,0,30000
651016.24,4766187.02,-256.79,5,0.19,0.05,19.05,3,0,5244.89,0,0,0,15190,0,1265.11,0,0,21700
651018.66,4766187.26,-262.28,5,0.37,0.06,294,6.7,0,3000,0,0,0,10500,0,1500,0,0,15000
651019.47,4766187.34,-264.11,5,0.15,0.02,9.52,2.2,0,2100,0,0,0,4900,0,0,0,0,7000
651020.27,4766187.42,-265.94,5,0.17,0.01,11.25,1.6,0,3000,0,0,0,7000,0,0,0,0,10000
651057.08,4766191.62,-350.15,5,0.11,0.04,4.67,2.2,0,2800,0,0,0,7000,0,200,0,0,10000
651059.47,4766191.89,-355.64,5,0.36,0.08,6.75,9.6,0,7500,0,0,0,17500,0,0,0,0,25000
651139.69,4766197.93,-549.61,5,0.14,0.07,13.7,8.4,0,4500,0,0,0,10500,0,0,0,0,15000
651155.78,4766198.76,-590.55,5,0.08,0.07,10.7,10.9,0,3000,0,0,0,7000,0,0,0,0,10000
651187.23,4766199.86,-672.73,5,0.08,0.04,4.89,3.3,0,3000,0,0,0,7000,0,0,0,0,10000
650854.11,4766170.25,101.89,5,0.52,0.22,25.9,8.9,0,12500,0,0,0,36500,0,1000,0,0,50000
650756.5,4766162.16,318.79,5,0.59,0.21,19.2,4.4,0,7500,0,0,0,22500,0,0,0,0,30000
650759.69,4766162.4,311.46,5,0.59,0.27,17.45,7.1,1000,4000,0,0,0,15000,0,0,0,0,20000
